220	4	5	3	.	2
221	2	3	4	.	4
222	2	4	4	.	4
223	5	4	4	.	3
224	4	4	4	.	.
225	5	1	4	.	4
226	3	4	4	.	4
227	4	4	3	.	3
228	3	3	5	.	3
229	3	1	4	.	2
230	3	4	4	.	4
231	1	1	5	.	4
232	3	4	4	.	2
233	5	4	5	.	2
234	5	4	3	.	1
235	4	4	4	.	4
236	5	5	3	.	1
237	4	4	4	.	1
238	4	4	4	.	3
239	3	4	4	.	4
240	3	4	4	.	4
241	4	4	4	.	2
242	4	2	5	.	3
243	1	1	3	.	4
244	3	3	5	.	4
245	5	2	5	.	.
246	5	5	2	.	4
247	3	3	5	.	2
248	5	3	5	.	3
249	5	3	3	.	3
250	5	5	5	.	4
251	2	2	4	.	4
252	1	2	4	.	3
253	.	.	4	.	3
254	3	3	3	.	1
255	5	5	3	.	1
256	5	5	5	.	4
257	2	4	4	.	4
258	3	1	4	.	4
259	3	2	5	.	2
260	5	5	5	.	1
261	.	1	5	.	3
262	5	5	4	.	1
263	3	3	5	.	1
264	2	2	2	.	4
265	4	3	3	.	4
266	3	4	4	.	4
267	1	5	5	.	3
268	2	2	5	.	1
269	3	4	4	.	1
270	4	3	4	.	.
271	2	2	5	.	3
272	3	4	4	.	1
273	1	3	5	.	4
274	4	4	4	.	3
275	2	3	2	.	4
276	1	4	4	.	.
277	4	3	5	.	4
278	2	2	5	.	4
279	1	4	5	.	1
280	3	3	5	.	4
281	3	2	5	.	4
282	3	5	5	.	3
283	2	5	2	.	3
284	2	4	5	.	3
285	3	4	5	.	3
286	2	3	3	.	3
287	4	5	3	.	3
288	5	5	4	.	.
289	2	3	2	.	3
290	3	3	3	.	4
291	4	4	4	.	1
292	3	3	4	.	1
293	2	4	3	.	.
294	1	3	5	.	4
295	5	4	4	.	4
296	.	.	.	.	.
297	2	4	5	.	4
298	4	3	4	.	4
299	2	.	.	.	1
300	.	4	5	.	1
301	1	3	5	.	1
302	4	4	3	.	1
303	.	.	5	.	.
304	3	3	3	.	1
305	3	2	5	.	1
306	1	3	3	.	4
307	1	1	5	.	3
308	5	5	5	.	4
309	3	3	5	.	.
310	4	4	5	.	2
311	5	4	5	.	1
312	3	3	3	.	4
313	3	2	3	.	.
314	3	4	5	.	2
315	5	3	5	.	3
316	5	3	5	.	1
317	1	1	3	.	4
318	.	1	5	.	.
319	3	4	5	.	1
320	3	5	5	.	4
321	4	1	3	.	1
322	4	3	4	.	3
323	4	4	3	.	3
324	1	2	3	.	4
325	2	3	3	.	4
326	2	3	5	.	1
327	1	4	4	.	4
328	5	4	4	.	3
329	3	4	5	.	4
330	2	3	4	.	1
331	3	3	3	.	3
332	1	2	5	.	4
333	3	2	3	.	3
334	5	3	2	.	1
335	3	2	3	.	3
336	3	3	3	.	3
337	3	4	5	.	1
